account_id,customer_id,account_type,opening_balance,account_status
ACC001,CUST001,Checking,7163.17,Active
ACC002,CUST002,Checking,10729.94,Active
ACC003,CUST003,Credit,5571.18,Active
ACC004,CUST004,Credit,12100.3,Active
ACC005,CUST005,Credit,2259.02,Active
ACC006,CUST006,Credit,7111.22,Active
ACC007,CUST007,Checking,10052.83,Active
ACC008,CUST008,Credit,14232.63,Active
ACC009,CUST009,Savings,3830.73,Active
ACC010,CUST010,Checking,14432.48,Active
ACC011,CUST011,Checking,3234.63,Active
ACC012,CUST012,Savings,5865.9,Active
ACC013,CUST013,Savings,14468.08,Active
ACC014,CUST014,Checking,6344.47,Active
ACC015,CUST015,Savings,8553.3,Active
ACC005,CUST005,Savings,8200.5,Active
ACC016,,Checking,1200.0,Active
