transaction_id,account_id,customer_id,transaction_date,transaction_type,amount,merchant_category,payment_method,transaction_status,transaction_location,ingestion_timestamp
TXN0001,ACC015,CUST015,2025-04-12,Credit,3277.86,Fuel,Credit Card,Completed,Online,2026-05-13 23:24:28
TXN0002,ACC007,CUST007,2025-01-19,Debit,493.71,Groceries,Credit Card,Pending,Brampton,2026-05-13 23:24:28
TXN0003,ACC003,CUST003,2025-03-21,Debit,1528.61,Transfer,Mobile Wallet,Completed,Online,2026-05-13 23:24:28
TXN0004,ACC006,CUST006,2025-03-09,Credit,4722.42,Healthcare,ACH,Completed,Toronto,2026-05-13 23:24:28
TXN0005,ACC015,CUST015,2025-02-08,Credit,4252.13,Travel,Mobile Wallet,Pending,Online,2026-05-13 23:24:28
TXN0006,ACC005,CUST005,2025-01-19,Debit,1694.8,Insurance,Credit Card,Completed,Mississauga,2026-05-13 23:24:28
TXN0007,ACC012,CUST012,2025-03-31,Debit,1798.74,Transfer,Credit Card,Completed,Online,2026-05-13 23:24:28
TXN0008,ACC010,CUST010,2025-01-28,Credit,161.38,Fuel,ACH,Completed,Online,2026-05-13 23:24:28
TXN0009,ACC002,CUST002,2025-04-03,Debit,124.2,Fuel,ACH,Completed,Online,2026-05-13 23:24:28
TXN0010,ACC011,CUST011,2025-03-24,Credit,290.48,Healthcare,Credit Card,Completed,Brampton,2026-05-13 23:24:28
TXN0011,ACC014,CUST014,2025-04-07,Debit,2488.95,Restaurant,Credit Card,Completed,Toronto,2026-05-13 23:24:28
TXN0012,ACC003,CUST003,2025-01-28,Debit,320.68,Fuel,ACH,Completed,Online,2026-05-13 23:24:28
TXN0013,ACC007,CUST007,2025-03-02,Credit,2325.67,Restaurant,Mobile Wallet,Failed,Mississauga,2026-05-13 23:24:28
TXN0014,ACC007,CUST007,2025-01-19,Debit,2073.47,Fuel,Mobile Wallet,Completed,Brampton,2026-05-13 23:24:28
TXN0015,ACC014,CUST014,2025-02-03,Debit,488.34,Groceries,ACH,Completed,Toronto,2026-05-13 23:24:28
TXN0016,ACC005,CUST005,2025-04-12,Credit,227.87,Education,Online Transfer,Completed,Brampton,2026-05-13 23:24:28
TXN0017,ACC001,CUST001,2025-03-25,Debit,560.88,Groceries,Debit Card,Failed,Mississauga,2026-05-13 23:24:28
TXN0018,ACC006,CUST006,2025-03-28,Credit,3874.85,Fuel,Debit Card,Failed,Mississauga,2026-05-13 23:24:28
TXN0019,ACC014,CUST014,2025-04-13,Debit,409.97,Groceries,Debit Card,Completed,Online,2026-05-13 23:24:28
TXN0020,ACC007,CUST007,2025-01-23,Credit,2288.6,Restaurant,Credit Card,Failed,Online,2026-05-13 23:24:28
TXN0021,ACC009,CUST009,2025-04-29,Credit,2341.81,Utilities,ACH,Failed,Online,2026-05-13 23:24:28
TXN0022,ACC009,CUST009,2025-01-15,Credit,645.28,Transfer,Credit Card,Completed,Brampton,2026-05-13 23:24:28
TXN0023,ACC013,CUST013,2025-02-28,Credit,4317.64,Fuel,Debit Card,Completed,Brampton,2026-05-13 23:24:28
